timestamp,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,98.5,98.81,96.37,96.75,59.358271344,9551800,0.0000,1.0
1999-11-02,96.75,96.81,93.69,94.81,58.1680383062,11105400,0.0000,1.0
1999-11-03,95.87,95.94,93.5,94.37,57.8980885451,10369100,0.0000,1.0
1999-11-04,94.44,94.44,90.0,91.56,56.1740912068,16697600,0.0000,1.0
1999-11-05,92.75,92.94,90.19,90.25,55.3703771452,13737600,0.0000,1.0
1999-11-08,90.5,93.94,90.5,93.94,57.7078966679,8522300,0.1200,1.0
1999-11-09,95.06,95.5,92.12,93.62,57.5113187785,9551200,0.0000,1.0
1999-11-10,94.62,97.06,94.12,97.0,59.5876727357,8680300,0.0000,1.0
1999-11-11,97.5,97.5,94.87,95.0,58.3590609267,7147500,0.0000,1.0
1999-11-12,96.0,96.25,93.0,95.87,58.8935070636,9668400,0.0000,1.0
1999-11-15,96.0,96.37,93.87,94.06,57.7816133764,6259400,0.0000,1.0
1999-11-16,94.62,95.0,93.0,94.62,58.125624683,8537400,0.0000,1.0
1999-11-17,94.87,94.87,92.62,93.75,57.5911785461,8355100,0.0000,1.0
1999-11-18,94.0,98.25,93.56,98.0,60.2019786401,18720500,0.0000,1.0
1999-11-19,99.0,105.12,98.37,103.94,63.8509557128,19678400,0.0000,1.0
1999-11-22,105.5,108.44,104.44,107.87,66.2651779175,13681600,0.0000,1.0
1999-11-23,108.81,109.87,106.0,106.06,65.1532842303,10665200,0.0000,1.0
1999-11-24,105.0,105.0,101.81,104.5,64.1949670193,9710400,0.0000,1.0
1999-11-26,105.94,106.0,104.12,105.0,64.5021199716,3108400,0.0000,1.0
1999-11-29,104.94,104.94,103.37,104.19,64.0045321889,5677700,0.0000,1.0
1999-11-30,103.69,104.5,102.12,103.06,63.3103665169,5758700,0.0000,1.0
1999-12-01,102.56,104.44,102.25,103.42,63.5315166425,5336400,0.0000,1.0
1999-12-02,103.44,106.31,103.37,105.27,64.6679825658,6216900,0.0000,1.0
1999-12-03,109.81,112.87,107.94,111.87,68.7224015354,14680300,0.0000,1.0
1999-12-06,113.0,116.5,112.5,116.0,71.259484921,9928300,0.0000,1.0
1999-12-07,117.0,119.19,115.44,116.62,71.6403545818,11326100,0.0000,1.0
1999-12-08,116.25,121.0,115.5,118.28,72.6601023832,8139800,0.0000,1.0
1999-12-09,120.5,122.12,112.25,113.37,69.6438603922,16643000,0.0000,1.0
1999-12-10,111.62,111.94,107.56,109.0,66.9593435895,12588800,0.0000,1.0
1999-12-13,108.12,112.75,106.56,109.7,67.3893577227,7135200,0.0000,1.0
1999-12-14,110.19,110.19,106.87,109.25,67.1129200657,7437900,0.0000,1.0
1999-12-15,107.75,107.94,104.5,107.0,65.7307317806,9437900,0.0000,1.0
1999-12-16,108.0,109.69,105.75,109.19,67.0760617114,7122300,0.0000,1.0
1999-12-17,110.69,111.06,108.62,110.0,67.573649494,7676800,0.0000,1.0
1999-12-20,109.06,110.44,107.75,109.2,67.0822047704,4836300,0.0000,1.0
1999-12-21,108.5,110.12,108.06,110.12,67.6473662026,4773500,0.0000,1.0
1999-12-22,109.87,110.31,108.0,108.0,66.3450376851,4005600,0.0000,1.0
1999-12-23,109.12,110.44,108.19,108.62,66.7259073458,4528700,0.0000,1.0
1999-12-27,109.69,110.0,108.12,109.75,67.4200730179,3740700,0.0000,1.0
1999-12-28,109.56,110.75,109.06,109.81,67.4569313722,4083100,0.0000,1.0
1999-12-29,110.44,110.5,108.75,109.0,66.9593435895,2683300,0.0000,1.0
